,0
0,2.6995077
1,2.9248633
2,2.1939497
3,0.20552555
4,4.0538764
5,1.7313771
6,2.6862488
7,2.3545527
8,2.5834246
9,2.4655128
10,2.5512624
11,3.540192
12,1.995827
13,1.5515066
14,2.031835
15,2.3744326
16,2.382773
17,4.0328407
18,3.2191918
19,3.5701795
20,1.9384205
21,2.5972993
22,2.8000073
23,1.3827131
24,2.0083466
25,1.7670819
26,2.60042
27,2.3801842
28,4.519002
29,2.1396503
30,4.255994
31,2.436595
32,3.5256956
33,1.7537761
34,3.7119362
35,1.9719347
36,0.4864921
37,2.6439831
38,2.6123042
39,4.23433
40,2.8940623
41,2.1845608
42,2.678827
43,3.5581336
44,3.2764938
45,3.934854
46,3.551756
47,2.3045819
48,2.3963728
49,-0.6606523
50,3.0287385
51,2.7468066
52,4.8224044
53,3.8042445
54,3.1196766
55,-0.20132324
56,3.6183043
57,3.9113607
58,2.414032
59,3.3337114
60,3.799985
61,3.2700176
62,0.79352105
63,2.1755095
64,3.6217997
65,3.500406
66,2.7334166
67,2.3774924
68,3.4159281
69,3.3398385
70,4.354923
71,-3.5045178
72,3.489918
73,-2.5034618
74,2.62983
75,-0.23937981
76,3.126535
77,4.8042135
78,4.074334
79,2.6212115
80,2.4564488
81,2.8503008
82,2.2309027
83,3.697774
84,3.310406
85,3.054398
86,2.4167
87,-1.1485868
88,3.064713
89,-2.4845011
90,2.5220082
91,3.463082
92,4.3458242
93,3.7030525
94,3.1390195
95,1.7579777
96,-2.747041
97,-1.4696978
98,-1.3165938
99,-0.7689971
100,-2.6618652
101,-2.0234241
102,-2.5607593
103,-3.7404642
104,-1.1152288
105,-2.607427
106,-1.2999902
107,-2.9897296
108,-1.418221
109,-0.982953
110,-3.3365808
111,-1.8418341
112,-1.705624
113,-2.0581894
114,-3.300424
115,-2.4520068
116,-2.088986
117,4.497797
118,-2.6323879
119,0.61467266
120,-1.2148335
121,-1.1121261
122,1.3710301
123,-1.7017124
124,-1.2914705
125,-1.2839493
126,-2.0028303
127,-2.7575986
128,-2.1514583
129,-3.0941558
130,-2.8250446
131,-1.0241989
132,-1.4769132
133,-0.92730075
134,-0.91480803
135,-1.087601
136,-1.5254748
137,1.5010649
138,-1.2318572
139,-1.8561053
140,-1.2220662
141,-1.7448081
142,-2.4606643
143,1.4259641
144,-1.1495649
145,-0.4328286
146,-0.8373173
147,-1.4672832
148,-1.6818106
149,-0.5797212
150,-1.610096
151,-2.284327
152,-1.8274467
153,2.8510537
154,-2.510556
155,-2.5090656
156,2.751893
157,-2.1220202
158,-2.3336217
159,-1.660843
160,-0.6243175
161,-1.9276989
162,-1.1414989
163,-2.6656363
164,-2.2359247
165,-1.8958763
166,-2.6285195
167,-3.738205
168,-3.0180287
169,-3.0813746
170,-1.8474741
171,-2.3016663
172,-1.7233217
173,-1.1011813
174,-2.034465
175,-2.3251417
176,-2.1606455
177,-1.794993
178,-2.2138355
179,-2.8868332
180,-2.2671118
181,-2.3620348
182,-2.9143858
183,-0.98945546
184,-2.1455405
185,-1.8311944
186,-2.4329278
187,-1.7455478
188,-2.0238006
189,-1.1495614
190,-0.89279354
191,1.1544366
192,-4.293045
193,-0.27615643
194,0.9034075
195,-2.088535
196,-4.211469
197,0.71379936
198,0.54608864
199,1.2832091
200,-0.18756443
201,0.42914397
202,0.37593797
203,1.1251787
204,1.2101706
205,0.8349053
206,0.20055021
207,0.68247414
208,0.99505657
209,-4.416659
210,0.9853987
211,0.30766073
212,0.6302313
213,0.10245414
214,0.30306715
215,0.77872896
216,0.16665979
217,0.7906933
218,-0.15570049
219,0.32312447
220,-0.051632136
221,0.45679465
222,-4.3133354
223,0.48640713
224,-0.800233
225,-0.80007124
226,0.95370865
227,-0.21615842
228,0.32157937
229,-0.18937919
230,0.77607256
231,0.4703436
232,0.46004677
233,0.56676936
234,0.7715417
235,-4.1735964
236,0.6076847
237,1.0776585
238,0.7192662
239,-0.123757124
240,0.77626354
241,0.86514413
242,-0.0987598
243,1.0428507
244,0.84313655
245,-0.38394693
246,0.6645706
247,0.25616068
248,0.8716482
249,-4.2697606
250,0.4466535
251,0.24477527
252,0.9540558
253,0.6480389
254,0.30690068
255,0.14445722
256,0.60556746
257,0.9535301
258,0.29770568
259,0.44784683
260,0.08492068
261,0.73399794
262,-4.275469
263,0.9147196
264,0.66890585
265,-1.1079366
266,0.8544173
267,-1.0271919
268,-0.052812353
269,2.5789518
270,0.63370275
271,0.90711725
272,-1.1631883
273,0.5662015
274,-0.8528608
275,-4.293045
276,2.3289373
277,1.1409892
278,0.21809247
279,-1.0045869
280,1.3266929
281,-0.92043626
282,0.31318593
283,0.32150692
284,0.24196045
285,-1.2931273
286,-1.043828
287,-1.0615187
