,0
0,2.6413095
1,2.754628
2,2.5734615
3,-0.38340664
4,1.2890438
5,3.3383882
6,2.640962
7,2.1229243
8,2.633092
9,0.75635064
10,2.8495798
11,2.1660585
12,3.3481112
13,3.2304056
14,2.6528797
15,2.5023246
16,2.7521043
17,1.2191044
18,2.369851
19,1.922822
20,3.2991476
21,2.7871265
22,1.4799
23,-0.43166634
24,2.751225
25,3.263658
26,2.5870564
27,3.2485263
28,1.130875
29,3.1525707
30,1.5790032
31,2.7628107
32,2.4192324
33,3.7126336
34,1.758648
35,3.1226425
36,-1.0206146
37,2.8362756
38,0.63802636
39,3.5519598
40,2.4856043
41,1.7497723
42,2.5952506
43,1.8876507
44,1.924612
45,1.562706
46,1.9554031
47,2.3252373
48,2.9243927
49,-0.16148397
50,2.267177
51,2.7717652
52,2.625517
53,0.9932474
54,2.4794211
55,-0.90461975
56,0.5577693
57,3.014823
58,2.7843542
59,1.5225544
60,1.2130215
61,2.288392
62,-0.37950888
63,2.8568687
64,2.0144057
65,1.3608587
66,2.2706902
67,1.4903238
68,1.2295089
69,1.6900804
70,1.2205997
71,2.1550336
72,2.123931
73,2.135812
74,2.9132922
75,-1.3326406
76,1.4812948
77,0.034451753
78,2.4288263
79,2.026429
80,2.5158648
81,2.3697557
82,0.3997545
83,1.5935054
84,1.7391801
85,2.244327
86,2.4305906
87,-5.004462
88,1.0929615
89,0.5584073
90,2.3928099
91,2.3093765
92,1.6977724
93,1.0272099
94,0.9876317
95,2.769874
96,2.4499965
97,0.11519914
98,-0.0038724653
99,-0.18546587
100,1.8789239
101,1.9482142
102,2.3425179
103,2.595347
104,-0.06502396
105,1.1119592
106,-0.34147346
107,2.1420095
108,0.07009045
109,-0.25820747
110,1.8694906
111,0.72676873
112,0.36361036
113,0.7472882
114,2.7234123
115,1.912176
116,0.12691446
117,0.061953686
118,1.6142825
119,-1.162289
120,0.058076926
121,0.0088902
122,-0.855852
123,0.19739187
124,-0.25412887
125,0.002498068
126,1.666342
127,1.910392
128,0.96820825
129,2.5594468
130,2.521063
131,-0.30806696
132,0.25383165
133,-0.3339747
134,-0.3555179
135,-0.37611914
136,-0.072047755
137,0.06227175
138,-0.23521554
139,1.3367484
140,-0.25483167
141,2.4449294
142,2.457479
143,3.068215
144,-0.75168395
145,-0.35213244
146,-0.39504576
147,-0.04409208
148,-0.25280392
149,-0.3440475
150,0.009644924
151,0.44943267
152,0.18632866
153,1.2251852
154,2.016662
155,2.0117512
156,2.0388432
157,0.14186192
158,0.40421504
159,0.59911263
160,-0.4594165
161,1.5178456
162,-0.21450432
163,1.0915653
164,0.5261018
165,0.69879186
166,1.6999398
167,2.9972332
168,2.047487
169,2.0608017
170,0.5346911
171,0.71664506
172,0.6733459
173,-0.0459148
174,0.50734425
175,0.7345334
176,0.7662884
177,-0.19861951
178,0.65221477
179,2.543676
180,1.5252562
181,2.0456595
182,1.6467745
183,-0.26122424
184,0.57323444
185,0.22839299
186,1.4317839
187,0.13140734
188,0.4197436
189,-0.2563352
190,-0.30729967
191,-1.2037902
192,-4.2191668
193,-1.9912431
194,-1.9501538
195,0.68163806
196,-4.1650257
197,-1.8359381
198,-2.2453477
199,-2.57697
200,-0.6731563
201,-1.6691579
202,-1.2256613
203,-1.8572553
204,-2.3190994
205,-2.0093663
206,-1.9006293
207,-2.05664
208,3.8534188
209,-3.818589
210,-1.4321611
211,-2.4154801
212,-2.0036283
213,-1.8422272
214,-1.857415
215,-2.1308138
216,-1.270606
217,-0.6259128
218,-1.9705942
219,-1.7518058
220,-2.0691576
221,-2.2975667
222,-4.3367796
223,-1.9504929
224,-2.0186598
225,-1.3181756
226,-2.467481
227,-0.7232258
228,-1.6229311
229,-1.7807734
230,-2.0774856
231,-1.8535053
232,-1.7703112
233,-2.0279331
234,-2.4990768
235,-4.1468434
236,-1.6002218
237,4.0883837
238,-1.3669188
239,-1.0724986
240,-2.3223562
241,-2.1589603
242,-0.8729703
243,3.688481
244,-2.2041461
245,-1.6637974
246,-2.174584
247,-1.4889036
248,-2.46702
249,-4.372406
250,-2.0591917
251,-1.8237956
252,-1.773124
253,-2.3295918
254,-1.986132
255,-1.1879811
256,-1.622488
257,-2.4519
258,-0.921521
259,-1.9777746
260,-2.21316
261,-2.0551805
262,-4.111149
263,-2.2418575
264,-2.2748168
265,-1.1105635
266,-2.3060586
267,-1.410893
268,-1.0159311
269,3.1321979
270,-1.5621066
271,-1.9526701
272,0.34288004
273,-1.7045299
274,-2.3835778
275,-4.2191668
276,0.25274348
277,-2.534669
278,-1.8116312
279,-0.077006236
280,-2.605948
281,-0.034547478
282,-0.9006096
283,-1.8207808
284,-1.1546701
285,-0.259357
286,0.0712485
287,0.24528465
