,0
0,-2.8497052
1,-2.7113287
2,-2.1633506
3,-2.7594666
4,-2.1220746
5,-2.1427565
6,-2.6350734
7,-2.384059
8,-2.5185766
9,-1.2956902
10,-2.2450721
11,-2.675909
12,-2.953071
13,-2.701201
14,-2.4177823
15,-1.6868277
16,-2.0488467
17,-2.054436
18,-2.2897553
19,-2.191473
20,-1.9034402
21,-2.6069002
22,-2.0115628
23,-1.6220914
24,-2.4453049
25,-2.0176992
26,-2.3189242
27,-2.9035606
28,-2.352657
29,-1.7248974
30,-2.3763788
31,-2.1524355
32,-2.3319368
33,-2.7725377
34,-2.1819298
35,-2.7240322
36,-1.1226394
37,-2.5531328
38,-2.1342382
39,-2.7108555
40,-2.7414458
41,-1.7040467
42,-2.4244885
43,-2.7857041
44,-2.4601893
45,-2.1599765
46,-2.5347538
47,-2.418243
48,-2.7766848
49,-1.8558639
50,-1.9548002
51,-2.8267975
52,-2.687149
53,-2.6301908
54,-2.811822
55,2.1066866
56,-2.5220654
57,-2.8141966
58,-2.3540378
59,-2.1215014
60,-2.510828
61,-2.6165452
62,-0.5781198
63,-2.4720716
64,-2.244835
65,-2.3401084
66,-2.1334748
67,-2.1940465
68,-2.5359728
69,-1.6737456
70,-1.9591818
71,-0.81887496
72,-2.002745
73,-0.96304655
74,-2.8165348
75,-1.1231987
76,-1.6692517
77,-2.0506997
78,-1.7668643
79,-1.5260775
80,-2.535355
81,-2.3025825
82,-2.3293707
83,-2.5808377
84,-1.7823557
85,-2.852664
86,-2.279933
87,3.0846953
88,-1.8829577
89,-0.30674115
90,-1.8258486
91,-2.0855799
92,-2.3400297
93,-2.0054
94,-1.5902451
95,-1.6855105
96,-0.50588775
97,0.26321837
98,0.34368742
99,0.7130832
100,-0.33354434
101,-1.3233024
102,-0.6977921
103,-0.51142776
104,0.10048073
105,-0.34866
106,0.17100154
107,-0.20143454
108,-0.095170744
109,0.09942688
110,-0.2533151
111,-0.56071174
112,-0.0036919564
113,-0.6899663
114,-0.35890323
115,-0.63536334
116,-0.13863203
117,-0.90927947
118,-0.49904704
119,-0.47445893
120,0.46218812
121,-0.61587465
122,-1.4215503
123,0.23014838
124,-0.43966275
125,-0.5823148
126,-0.585407
127,-0.3479635
128,-1.0478879
129,-0.19416147
130,-1.0906875
131,0.31011012
132,-0.82211053
133,0.27280983
134,0.30652052
135,0.10379471
136,-0.07180998
137,-0.28980327
138,-0.24937373
139,-0.38523287
140,-0.13153061
141,-0.28287184
142,-1.4894611
143,1.3989863
144,0.151463
145,1.3480512
146,0.24255854
147,0.14324613
148,-0.015280921
149,-0.24780878
150,-0.8050514
151,-0.12114328
152,0.06676225
153,-1.1042311
154,-0.602282
155,-0.68092865
156,-1.2673336
157,-0.0035461113
158,-0.26677403
159,-0.4181331
160,0.31610107
161,-0.16276702
162,0.11493331
163,-0.79234475
164,-0.32936144
165,-0.25993568
166,-0.6281963
167,-1.2742995
168,-0.556216
169,-0.5352315
170,0.17839307
171,-0.35488868
172,-0.24684668
173,0.31407288
174,0.32313824
175,-0.43397668
176,-0.09710978
177,-0.9474652
178,-0.59227693
179,0.06491951
180,-0.2975883
181,-1.1092973
182,-0.52658623
183,0.28821856
184,0.06389824
185,0.10225993
186,-0.41104016
187,0.33204588
188,0.30721092
189,0.379429
190,0.30106148
191,1.0395899
192,3.463339
193,1.5995133
194,2.3869925
195,1.6836073
196,3.463604
197,1.8726627
198,2.019598
199,2.0102134
200,2.0055313
201,2.0407853
202,1.7729634
203,1.8609164
204,2.5790915
205,2.7176673
206,1.3947628
207,1.9693469
208,2.4971147
209,3.4741483
210,2.433835
211,1.4344314
212,2.059274
213,2.285551
214,1.8089113
215,1.653119
216,1.8728395
217,2.9768586
218,1.6465787
219,1.8841338
220,1.6296805
221,2.7313898
222,3.4642792
223,1.8827295
224,1.4697737
225,1.5228262
226,1.673184
227,2.6478786
228,2.459734
229,1.4614925
230,2.4441645
231,1.8616979
232,1.9650304
233,2.3476918
234,1.6024039
235,3.4568565
236,2.3222232
237,-2.7433171
238,2.6946378
239,2.3306448
240,1.9187639
241,2.1226022
242,1.8680692
243,-2.5071077
244,2.1464605
245,1.5881845
246,1.6884022
247,2.4466734
248,2.0042176
249,3.463256
250,2.3772438
251,2.453907
252,2.1457174
253,1.8863771
254,1.7165692
255,1.7745781
256,1.6247147
257,1.7624481
258,1.7626154
259,2.3382006
260,1.6410806
261,1.7720466
262,3.4625163
263,-1.9205062
264,1.5753821
265,2.5466676
266,2.3163714
267,1.064242
268,1.9936383
269,-3.0940282
270,1.7756575
271,2.05994
272,2.0175312
273,2.1616216
274,1.2529879
275,3.463339
276,-2.2551641
277,1.9596231
278,2.1719651
279,1.655263
280,1.8566545
281,2.0360785
282,1.7713594
283,1.4070702
284,1.7144535
285,2.2529159
286,2.058209
287,2.1703844
