,0
0,-2.4983547
1,-2.5184782
2,-2.1178966
3,-2.6222625
4,-1.9053402
5,-2.0092325
6,-2.762917
7,-3.5781856
8,-3.060453
9,-1.081462
10,-2.026466
11,-2.545435
12,-3.6452808
13,-2.5917716
14,-3.129376
15,-1.5268941
16,-2.0107453
17,-1.7337395
18,-2.0420353
19,-2.0166078
20,-1.6765136
21,-3.1126113
22,-1.8352408
23,-1.414027
24,-2.4799457
25,-1.7919384
26,-2.2684772
27,-2.6002393
28,-2.1260254
29,-1.4721497
30,-2.097264
31,-1.8771341
32,-2.0384593
33,-2.5872374
34,-1.999311
35,-2.8255806
36,-1.3171891
37,-2.2344968
38,-1.9846516
39,-2.5510898
40,-3.2064047
41,-1.4983888
42,-2.2003531
43,-2.6777074
44,-2.4560149
45,-1.9105749
46,-2.3529682
47,-2.1593986
48,-2.8191457
49,-1.726568
50,-1.465533
51,-2.714606
52,-2.6463938
53,-2.4498405
54,-2.6912541
55,-1.1473207
56,-2.3297966
57,-2.5819795
58,-2.0747156
59,-1.8683195
60,-2.4193153
61,-2.7433462
62,-0.31821948
63,-2.304063
64,-2.1283274
65,-1.9852064
66,-2.0025554
67,-1.9016484
68,-2.3178525
69,-1.4494416
70,-1.7492733
71,1.5410073
72,-1.6976583
73,1.8132105
74,-2.647371
75,-0.9310158
76,-1.2820823
77,-1.873606
78,-1.5218308
79,-1.1931171
80,-2.3787358
81,-2.0918589
82,-2.1002667
83,-2.2412906
84,-1.5029256
85,-2.8127208
86,-3.3226738
87,4.1633186
88,-1.7069405
89,0.31953165
90,-1.5824814
91,-1.9017344
92,-1.9927601
93,-1.5871813
94,-1.4298298
95,-1.4797411
96,0.13660955
97,0.620927
98,0.60882735
99,0.71763146
100,0.32844192
101,-0.93003374
102,1.4944706
103,0.5171193
104,0.46131712
105,0.30376828
106,0.48526198
107,1.1234972
108,0.4578472
109,0.64999634
110,0.6004134
111,-0.050861344
112,0.55582106
113,-0.31572193
114,1.1520895
115,-0.008051872
116,0.56734353
117,-0.6015894
118,0.25290033
119,-0.2567704
120,0.98848414
121,-0.4987179
122,-1.1033146
123,0.57842374
124,-0.06296301
125,-0.24797273
126,1.3477404
127,0.18527982
128,-0.8362658
129,1.1258943
130,-0.834394
131,0.6718129
132,-0.6123382
133,0.41931945
134,1.0955486
135,0.3841116
136,0.43145144
137,0.1386044
138,-0.08889577
139,0.437726
140,0.67064095
141,1.011005
142,-1.2844272
143,-0.54585373
144,0.95242673
145,-0.5572912
146,0.7441695
147,0.35762805
148,0.3964241
149,-0.025922462
150,-0.4670644
151,0.3229573
152,0.36395395
153,-0.9478688
154,-0.0759145
155,1.4970005
156,-0.9927666
157,0.30839095
158,0.14699632
159,-0.13941848
160,0.64400095
161,0.7306884
162,0.28709793
163,-0.27321628
164,0.2141349
165,0.24436978
166,-0.07077803
167,-0.9291811
168,0.056046132
169,0.10939446
170,0.72279006
171,0.14336273
172,0.4649611
173,0.55807495
174,0.84577286
175,-0.08933373
176,0.69695807
177,-0.4312573
178,-0.20868078
179,1.0601695
180,0.5123558
181,-0.6673924
182,0.12802592
183,0.651564
184,0.6207247
185,0.32190794
186,0.09479803
187,0.5883257
188,0.79620695
189,0.7159193
190,0.5805272
191,1.377639
192,4.1152964
193,1.8959913
194,-3.373651
195,2.2410083
196,4.1240344
197,2.2266707
198,2.2368622
199,2.3438673
200,2.2860427
201,2.3958306
202,1.826982
203,2.0872183
204,2.730208
205,-3.4244435
206,1.9711735
207,-1.1641117
208,-3.6118755
209,4.094691
210,-2.8375015
211,1.709964
212,-1.2102435
213,2.7313066
214,2.1105037
215,1.9376817
216,2.1944683
217,-2.4567015
218,1.917341
219,2.1484182
220,1.9055716
221,-3.216051
222,4.0910163
223,2.2636793
224,1.8025105
225,1.7439191
226,2.0846288
227,-3.3485126
228,2.7827191
229,1.8699799
230,-3.4609764
231,2.150239
232,-1.1279478
233,2.7020864
234,2.007125
235,4.091259
236,-1.4755087
237,-3.5244052
238,-2.551586
239,2.830172
240,2.2483664
241,2.3834
242,-0.9108517
243,-3.3706443
244,-1.2453961
245,1.9092908
246,2.0545719
247,-1.7659237
248,-1.2070425
249,4.1256647
250,2.6296585
251,2.622189
252,-3.9764702
253,2.195076
254,2.0741684
255,-0.57948166
256,1.8215083
257,2.167849
258,2.1549523
259,2.6878338
260,2.0789578
261,2.0482218
262,4.0873575
263,-1.5180931
264,1.9059503
265,2.9226537
266,-1.3823214
267,1.5172309
268,2.1182454
269,-3.2652514
270,1.9903357
271,-1.2777536
272,2.1020067
273,2.571878
274,1.7414936
275,4.1152964
276,-2.1914022
277,2.261107
278,2.269346
279,2.0251439
280,2.2297008
281,2.2492013
282,1.9866453
283,1.5476993
284,2.15417
285,2.4021742
286,2.4290814
287,2.6059747
